time,lead_i_mV,lead_ii_mV,lead_iii_mV
4.472,-6.50869226,-10.7009773,-4.19228506
4.476,-6.48893404,-10.7071733,-4.21823931
4.480,-6.48788166,-10.7034321,-4.21555042
4.484,-6.48250341,-10.7000418,-4.21753836
4.488,-6.47104597,-10.698288,-4.22724199
4.492,-6.47361803,-10.7125511,-4.23893309
4.496,-6.47431946,-10.7262306,-4.25191116
4.500,-6.45128775,-10.7061214,-4.2548337
4.504,-6.46122551,-10.6988726,-4.23764706
4.508,-6.43702412,-10.6773605,-4.24033642
4.512,-6.45081997,-10.6876488,-4.2368288
4.516,-6.44392204,-10.6861286,-4.24220657
4.520,-6.44345427,-10.6896362,-4.24618196
4.524,-6.43000937,-10.6781788,-4.24816942
4.528,-6.42884016,-10.6674232,-4.23858309
4.532,-6.44345427,-10.6796989,-4.23624468
4.536,-6.42357922,-10.6616945,-4.23811531
4.540,-6.42965889,-10.6701117,-4.24045277
4.544,-6.42194223,-10.6549129,-4.23297071
4.548,-6.40943289,-10.6453266,-4.23589373
4.552,-6.41083574,-10.6521072,-4.2412715
4.556,-6.3998456,-10.6449757,-4.24513006
4.560,-6.38125658,-10.6408834,-4.25962687
4.564,-6.39832592,-10.6307116,-4.23238564
4.568,-6.37576151,-10.5902596,-4.21449804
4.572,-6.3931818,-10.6172667,-4.22408485
4.576,-6.37482643,-10.5900259,-4.21519947
4.580,-6.35401583,-10.5556536,-4.20163774
4.584,-6.35460043,-10.5528479,-4.19824743
4.588,-6.34396124,-10.5492229,-4.20526171
4.592,-6.34080458,-10.5351934,-4.19438887
4.596,-6.32817793,-10.5212812,-4.19310331
4.600,-6.31578493,-10.5168381,-4.20105314
4.604,-6.3065486,-10.4732294,-4.16668081
4.608,-6.28854418,-10.4582644,-4.16972017
4.612,-6.29205132,-10.4431829,-4.15113163
4.616,-6.28994703,-10.446106,-4.15615892
4.620,-6.28316593,-10.430439,-4.14727306
4.624,-6.26071882,-10.4063549,-4.14563608
4.628,-6.26247215,-10.3828554,-4.12038326
4.632,-6.26130342,-10.3904543,-4.12915087
4.636,-6.2544055,-10.3629799,-4.10857439
4.640,-6.24926138,-10.3607588,-4.1114974
4.644,-6.23979092,-10.3455601,-4.10576916
4.648,-6.25697756,-10.3735027,-4.11652517
4.652,-6.26469374,-10.3705797,-4.10588598
4.656,-6.25300217,-10.3717489,-4.11874676
4.660,-6.26434278,-10.4127855,-4.14844275
4.664,-6.27369595,-10.4338293,-4.16013336
4.668,-6.27813864,-10.4407272,-4.1625886
4.672,-6.29076529,-10.4670334,-4.1762681
4.676,-6.32396889,-10.5257235,-4.20175457
4.680,-6.31917524,-10.5177736,-4.19859838
4.684,-6.33484173,-10.5537825,-4.21894073
4.688,-6.3521452,-10.5742426,-4.2220974
4.692,-6.37657976,-10.6054583,-4.2288785
4.696,-6.38067198,-10.6314135,-4.25074148
4.700,-6.40428829,-10.6491842,-4.24489594
4.704,-6.39587069,-10.663331,-4.26746035
4.708,-6.40218401,-10.6691761,-4.26699209
4.712,-6.40627623,-10.6774778,-4.27120161
4.716,-6.41913652,-10.7016783,-4.28254175
4.720,-6.40113163,-10.6992235,-4.29809189
4.724,-6.41434288,-10.7007427,-4.28639984
4.728,-6.42743731,-10.7258797,-4.29844236
4.732,-6.43901157,-10.7304392,-4.29142761
4.736,-6.44134998,-10.7501974,-4.30884743
4.740,-6.44941711,-10.7404938,-4.29107666
4.744,-6.43842745,-10.7314911,-4.29306364
4.748,-6.43690729,-10.7279844,-4.29107714
4.752,-6.44438982,-10.7353497,-4.29095984
4.756,-6.44427299,-10.7435331,-4.29926014
4.760,-6.44462347,-10.7409611,-4.2963376
4.764,-6.44053173,-10.7390909,-4.29855919
4.768,-6.43702412,-10.7415457,-4.30452156
4.772,-6.44859886,-10.7586155,-4.31001663
4.776,-6.45654869,-10.7593164,-4.30276775
4.780,-6.44918346,-10.7567444,-4.30756092
4.784,-6.45117092,-10.7465734,-4.29540253
4.788,-6.43819332,-10.7311411,-4.29294777
4.792,-6.44170094,-10.7375708,-4.29586983
4.796,-6.46847391,-10.7685528,-4.30007887
4.800,-6.45608139,-10.7594337,-4.30335236
4.804,-6.44263601,-10.7555752,-4.31293917
4.808,-6.43433523,-10.7275162,-4.29318094
4.812,-6.44053173,-10.7352324,-4.29470062
4.816,-6.44497442,-10.7525358,-4.3075614
4.820,-6.4470787,-10.7477427,-4.30066395
4.824,-6.44251919,-10.7417803,-4.29926109
4.828,-6.44614363,-10.7298546,-4.28371096
4.832,-6.45000172,-10.7594337,-4.30943203
4.836,-6.45795155,-10.7623568,-4.30440521
4.840,-6.44848156,-10.7589664,-4.31048489
4.844,-6.44064856,-10.7491455,-4.30849695
4.848,-6.42755413,-10.728919,-4.3013649
4.852,-6.44064856,-10.7428322,-4.30218363
4.856,-6.44778013,-10.7547569,-4.3069768
4.860,-6.44719553,-10.7710085,-4.32381296
4.864,-6.44193459,-10.7393246,-4.29738998
4.868,-6.4268527,-10.7307901,-4.30393744
4.872,-6.43725824,-10.7583818,-4.3211236
4.876,-6.44941711,-10.7701902,-4.32077312
4.880,-6.43316603,-10.7570953,-4.32392931
4.884,-6.43550444,-10.7531204,-4.31761599
4.888,-6.42042255,-10.7324266,-4.31200409
4.892,-6.43714094,-10.7594337,-4.3222928
4.896,-6.4250989,-10.7567444,-4.33164549
4.900,-6.41516161,-10.7512503,-4.33608866
4.904,-6.42802191,-10.7628241,-4.33480215
4.908,-6.43094492,-10.7518349,-4.32088995
4.912,-6.43702412,-10.7597847,-4.32276058
4.916,-6.45467806,-10.7856226,-4.33094454
4.920,-6.44474077,-10.7740479,-4.32930708
4.924,-6.44158411,-10.7713585,-4.32977438
4.928,-6.43515348,-10.7590828,-4.32392931
4.932,-6.44018078,-10.7684364,-4.32825565
4.936,-6.44380522,-10.7740479,-4.33024263
4.940,-6.44953394,-10.7831669,-4.33363295
4.944,-6.4453249,-10.782115,-4.33679008
4.948,-6.44146681,-10.7708912,-4.32942438
4.952,-6.45117092,-10.7712421,-4.32007122
4.956,-6.44778013,-10.7839851,-4.33620501
4.960,-6.4330492,-10.7727623,-4.3397131
4.964,-6.43188,-10.7715931,-4.3397131
4.968,-6.39540291,-10.7372198,-4.3418169
4.972,-6.40475607,-10.7369862,-4.33223009
4.976,-6.3999629,-10.7120838,-4.31212091
4.980,-6.40522385,-10.6747885,-4.26956463
4.984,-6.38137341,-10.6336346,-4.25226116
4.988,-6.36512232,-10.6308289,-4.26570654
4.992,-6.39049244,-10.6380777,-4.2475853
4.996,-6.37798309,-10.6685915,-4.29060841
5.000,-6.36722708,-10.6637983,-4.29657125
5.004,-6.3471179,-10.6158638,-4.2687459
5.008,-6.35448313,-10.629777,-4.27529383
5.012,-6.3745923,-10.6668386,-4.29224634
5.016,-6.36582375,-10.6411171,-4.27529335
5.020,-6.37634611,-10.6754894,-4.29914331
5.024,-6.36336851,-10.6961832,-4.33281469
5.028,-6.35892582,-10.6954823,-4.33655643
5.032,-6.37728167,-10.7193327,-4.34205103
5.036,-6.3735404,-10.7212029,-4.34766245
5.040,-6.38862228,-10.7312574,-4.34263515
5.044,-6.38873911,-10.7323103,-4.34357119
5.048,-6.41796732,-10.7562771,-4.33830976
5.052,-6.42439747,-10.7600183,-4.33562088
5.056,-6.44871569,-10.7822323,-4.3335166
5.060,-6.46520042,-10.8166046,-4.35140419
5.064,-6.4661355,-10.818943,-4.35280752
5.068,-6.47221518,-10.8141489,-4.34193373
5.072,-6.47420263,-10.8333235,-4.35912085
5.076,-6.47092915,-10.8360119,-4.36508274
5.080,-6.47864532,-10.8527308,-4.37408543
5.084,-6.46648645,-10.8219824,-4.35549593
5.088,-6.47151375,-10.8271265,-4.35561275
5.092,-6.48542643,-10.8340244,-4.348598
5.096,-6.47771025,-10.8208132,-4.34310293
5.100,-6.48285437,-10.8282957,-4.34544134
5.104,-6.48203611,-10.828413,-4.3463769
5.108,-6.47747612,-10.8253727,-4.34789658
5.112,-6.48542643,-10.8465347,-4.3611083
5.116,-6.50530195,-10.8841801,-4.37887812
5.120,-6.49922228,-10.8852329,-4.38601065
5.124,-6.50366497,-10.8956385,-4.3919735
5.128,-6.49033689,-10.8709688,-4.38063192
5.132,-6.40592527,-10.6689425,-4.26301718
5.136,-6.31438208,-10.5792704,-4.26488829
5.140,-6.04244137,-10.4148893,-4.37244797
5.144,-5.80323601,-10.2413902,-4.43815422
5.148,-5.56870747,-9.78799915,-4.21929169
5.152,-5.48254251,-9.41714954,-3.93460703
5.156,-5.44489622,-8.67743778,-3.23254156
5.160,-5.60062504,-8.85596466,-3.25533962
5.164,-5.9273982,-9.40043068,-3.47303247
5.168,-6.27755404,-10.0034714,-3.72591734
5.172,-6.48460817,-10.3199558,-3.83534765
5.176,-6.66605759,-10.6319981,-3.96594048
5.180,-6.71866894,-10.7953262,-4.0766573
5.184,-6.71410942,-10.9056931,-4.19158363
5.188,-6.66874695,-10.9565496,-4.2878027
5.192,-6.62724257,-10.946846,-4.31960344
5.196,-6.55732822,-10.8864021,-4.32907391
5.200,-6.50050831,-10.8057318,-4.30522346
5.204,-6.46555138,-10.7512503,-4.28569889
5.208,-6.46426487,-10.7470407,-4.28277588
5.212,-6.45128775,-10.7451706,-4.29388285
5.216,-6.43491983,-10.7266979,-4.29177809
5.220,-6.46028996,-10.7610703,-4.3007803
5.224,-6.44205141,-10.7418966,-4.29984522
5.228,-6.43117857,-10.7262306,-4.29505205
5.232,-6.42720366,-10.7327776,-4.30557394
5.236,-6.42135763,-10.7248278,-4.30347013
5.240,-6.41048479,-10.7099791,-4.29949427
5.244,-6.40627623,-10.7010937,-4.29481745
5.248,-6.39949512,-10.6820374,-4.28254223
5.252,-6.40183306,-10.6872978,-4.28546476
5.256,-6.40849733,-10.6924419,-4.28394461
5.260,-6.39435101,-10.6870642,-4.29271317
5.264,-6.37845039,-10.6572514,-4.27880096
5.268,-6.38102245,-10.6590052,-4.27798271
5.272,-6.38219166,-10.6567841,-4.2745924
5.276,-6.3796196,-10.6515226,-4.27190304
5.280,-6.36348581,-10.6343365,-4.27085066
5.284,-6.35226202,-10.6167994,-4.26453733
5.288,-6.34910536,-10.6059265,-4.25682116
5.292,-6.35237885,-10.6034708,-4.25109196
5.296,-6.34080458,-10.5879221,-4.24711752
5.300,-6.33507586,-10.5875711,-4.25249529
5.304,-6.33226967,-10.5694494,-4.23717976
5.308,-6.3267746,-10.5561209,-4.22934628
5.312,-6.31660318,-10.5356617,-4.21905851
5.316,-6.31169319,-10.5292311,-4.21753788
5.320,-6.30526257,-10.5166044,-4.21134186
5.324,-6.288661,-10.4817638,-4.19310284
5.328,-6.27439737,-10.4634085,-4.1890111
5.332,-6.27170849,-10.4516001,-4.17989159
5.336,-6.25779581,-10.4309072,-4.17311144
5.340,-6.23768663,-10.3809843,-4.14329767
5.344,-6.23932362,-10.3815689,-4.14224529
5.348,-6.21255016,-10.3390131,-4.12646294
5.352,-6.21044588,-10.3293085,-4.11886263
5.356,-6.21465492,-10.324048,-4.10939312
5.360,-6.20576954,-10.3070955,-4.10132599
5.364,-6.203197,-10.2955208,-4.09232378
5.368,-6.18846607,-10.268631,-4.08016491
5.372,-6.20085907,-10.2775164,-4.0766573
5.376,-6.19828701,-10.2651234,-4.06683636
5.380,-6.19711781,-10.2597456,-4.06262779
5.384,-6.19898844,-10.2678127,-4.06882429
5.388,-6.19863749,-10.274827,-4.07618952
5.392,-6.19501305,-10.2727232,-4.07771015
5.396,-6.20986128,-10.299613,-4.08975172
5.400,-6.21746063,-10.321476,-4.10401535
5.404,-6.23020411,-10.3386621,-4.10845804
5.408,-6.24622154,-10.3641491,-4.11792755
5.412,-6.25861406,-10.3968849,-4.13827085
5.416,-6.2746315,-10.414773,-4.14014149
5.420,-6.29322052,-10.4545231,-4.16130257
5.424,-6.30374289,-10.4693718,-4.16562891
5.428,-6.3083024,-10.4739313,-4.16562891
5.432,-6.3139143,-10.5021067,-4.18819237
5.436,-6.31999397,-10.5122786,-4.19228458
5.440,-6.33893394,-10.5392857,-4.20035172
5.444,-6.341506,-10.5387011,-4.19719505
5.448,-6.33519268,-10.5314522,-4.1962595
5.452,-6.33121729,-10.5358953,-4.20467806
5.456,-6.36594105,-10.5650063,-4.19906521
5.460,-6.36664248,-10.5616159,-4.19497347
5.464,-6.36547327,-10.5542507,-4.18877745
5.468,-6.3533144,-10.5531979,-4.19988346
5.472,-6.3599782,-10.5537825,-4.19380426
5.476,-6.36979914,-10.5654745,-4.19567537
5.480,-6.37155247,-10.5574074,-4.18585491
5.484,-6.37318945,-10.548522,-4.17533255
5.488,-6.35541868,-10.5236197,-4.16820097
5.492,-6.36699295,-10.5384674,-4.17147446
5.496,-6.36956501,-10.539753,-4.17018795
5.500,-6.37272167,-10.5482883,-4.17556667
5.504,-6.37248802,-10.535778,-4.16329002
5.508,-6.37447548,-10.5450144,-4.1705389
5.512,-6.3679285,-10.529582,-4.16165352
5.516,-6.36816216,-10.5273609,-4.15919876
5.520,-6.36184883,-10.5184746,-4.15662575
5.524,-6.35927677,-10.5173063,-4.15802956
5.528,-6.3526125,-10.4991846,-4.14657211
5.532,-6.36418724,-10.5168381,-4.15265083
5.536,-6.36079645,-10.5211639,-4.16036749
5.540,-6.37693071,-10.5197611,-4.14283037
5.544,-6.36453772,-10.5060825,-4.14154482
5.548,-6.3611474,-10.4940405,-4.13289309
5.552,-6.36313486,-10.4961443,-4.13300943
5.556,-6.35763979,-10.4907665,-4.13312674
5.560,-6.36021185,-10.495326,-4.13511419
5.564,-6.35717249,-10.48913,-4.13195753
5.568,-6.3667593,-10.495326,-4.12856674
5.572,-6.36149836,-10.4939232,-4.13242483
5.576,-6.36103058,-10.4817638,-4.12073326
5.580,-6.36021185,-10.4732294,-4.11301756
5.584,-6.35658789,-10.4704237,-4.11383581
5.588,-6.35284662,-10.4642267,-4.1113801
5.592,-6.35822439,-10.4731121,-4.11488771
5.596,-6.36348581,-10.4871426,-4.12365675
5.600,-6.36091375,-10.4711246,-4.1102109
5.604,-6.35588646,-10.4603691,-4.10448265
5.608,-6.35728931,-10.4650459,-4.10775661
5.612,-6.37143564,-10.4650459,-4.09361029
5.616,-6.37050056,-10.4656305,-4.09512997
5.620,-6.36442089,-10.4615383,-4.09711742
5.624,-6.37330627,-10.4652796,-4.0919733
5.628,-6.36500549,-10.4549913,-4.08998585
5.632,-6.36547327,-10.4650459,-4.09957266
5.636,-6.35237885,-10.4516001,-4.09922123
5.640,-6.34910536,-10.4484434,-4.09933805
5.644,-6.33986902,-10.4344139,-4.09454489
5.648,-6.31578493,-10.386363,-4.0705781
5.652,-6.32619047,-10.3774776,-4.05128717
5.656,-6.33086681,-10.3518734,-4.02100658
5.660,-6.33074999,-10.3255682,-3.99481821
5.664,-6.32887936,-10.3163319,-3.98745251
5.668,-6.31087446,-10.3053417,-3.99446726
5.672,-6.3060813,-10.3218269,-4.01574564
5.676,-6.280828,-10.2924814,-4.01165342
5.680,-6.27311134,-10.2689819,-3.99587059
5.684,-6.28047705,-10.2896757,-4.00919867
5.688,-6.29520798,-10.2828941,-3.98768616
5.692,-6.3004694,-10.2969236,-3.99645424
5.696,-6.30409336,-10.3073292,-4.00323582
5.700,-6.30175543,-10.3256845,-4.02392912
5.704,-6.29766321,-10.3394804,-4.04181719
5.708,-6.30245686,-10.3480148,-4.04555798
5.712,-6.31461573,-10.3588877,-4.04427195
5.716,-6.3071332,-10.3539782,-4.04684496
5.720,-6.33916759,-10.3876486,-4.04848099
5.724,-6.35927677,-10.3980541,-4.03877735
5.728,-6.36816216,-10.4042501,-4.03608799
5.732,-6.39306498,-10.4295034,-4.03643847
5.736,-6.4060421,-10.4531202,-4.04707813
5.740,-6.40978336,-10.451951,-4.04216766
5.744,-6.40347004,-10.4364014,-4.03293133
5.748,-6.40358686,-10.4403772,-4.03679037
5.752,-6.40580845,-10.4414291,-4.03562069
5.756,-6.40686035,-10.4373369,-4.03047657
5.760,-6.41492748,-10.4483271,-4.03339958
5.764,-6.41247225,-10.4353495,-4.02287722
5.768,-6.4010148,-10.4155912,-4.01457644
5.772,-6.41270638,-10.4295034,-4.01679707
5.776,-6.40627623,-10.4195662,-4.01328993
5.780,-6.41434288,-10.4183969,-4.00405407
5.784,-6.39341545,-10.3952484,-4.00183296
5.788,-6.40452242,-10.406004,-4.00148153
5.792,-6.39774132,-10.4210863,-4.02334499
5.796,-6.38324404,-10.430439,-4.04719496
5.800,-6.40148258,-10.445755,-4.04427242
5.804,-6.40767908,-10.4732294,-4.06555033
5.808,-6.39060974,-10.445755,-4.05514526
5.812,-6.30456114,-10.2536659,-3.94910479
5.816,-6.21208286,-10.1019125,-3.88982964
5.820,-5.95802975,-9.98616791,-4.02813816
5.824,-5.60483408,-9.64735222,-4.04251814
5.828,-5.47809982,-9.33016586,-3.85206604
5.832,-5.37802172,-8.71040726,-3.33238554
5.836,-5.3863225,-8.22767162,-2.84134912
5.840,-5.58191872,-8.34984589,-2.76792717
5.844,-5.8543272,-8.8405323,-2.9862051
5.848,-6.22728157,-9.49629974,-3.26901817
5.852,-6.49407816,-9.9440794,-3.45000124
5.856,-6.61403131,-10.1206179,-3.50658655
5.860,-6.65506792,-10.3222942,-3.66722631
5.864,-6.67880154,-10.3913898,-3.71258831
5.868,-6.61520052,-10.4434166,-3.82821608
5.872,-6.58199692,-10.4451704,-3.86317348
5.876,-6.47806072,-10.3939619,-3.91590118
5.880,-6.43340015,-10.3288412,-3.89544106
5.884,-6.36979914,-10.2551861,-3.88538694
5.888,-6.3475852,-10.2289972,-3.88141203
5.892,-6.3471179,-10.2222166,-3.87509871
5.896,-6.34290886,-10.2244377,-3.88152885
5.900,-6.34080458,-10.2195272,-3.87872267
5.904,-6.34010315,-10.2132139,-3.87311077
5.908,-6.32642412,-10.2005873,-3.87416315
5.912,-6.31578493,-10.1978979,-3.88211298
5.916,-6.30853653,-10.1928711,-3.88433456
5.920,-6.29789734,-10.1819983,-3.88410091
5.924,-6.29731274,-10.1703062,-3.87299347
5.928,-6.29298687,-10.1553421,-3.86235523
5.932,-6.29064846,-10.1542892,-3.86364079
5.936,-6.29181767,-10.1518345,-3.86001682
5.940,-6.29170084,-10.1507816,-3.85908079
5.944,-6.26656437,-10.1257629,-3.85919857
5.948,-6.26960421,-10.1061211,-3.83651686
5.952,-6.2690196,-10.1047182,-3.8356986
5.956,-6.26446009,-10.0984049,-3.8339448
5.960,-6.25919867,-10.0855446,-3.82634592
5.964,-6.2548728,-10.0737362,-3.81886339
5.968,-6.25721121,-10.068943,-3.81173182
5.972,-6.24481821,-10.063097,-3.81827879
5.976,-6.23651743,-10.044858,-3.80834055
5.980,-6.2341795,-10.0253334,-3.79115391
5.984,-6.21933126,-10.0028868,-3.78355551
5.988,-6.21173191,-9.99388409,-3.78215218
5.992,-6.21138096,-9.98757076,-3.7761898
5.996,-6.20308018,-9.96617603,-3.76309586
6.000,-6.20202827,-9.95986271,-3.75783443
6.004,-6.17794371,-9.91835785,-3.74041414
6.008,-6.16344643,-9.90421104,-3.74076462
6.012,-6.15701628,-9.87311268,-3.7160964
6.016,-6.14789724,-9.84540367,-3.69750643
6.020,-6.14357138,-9.8410778,-3.69750643
6.024,-6.13223076,-9.81734467,-3.68511391
6.028,-6.11329079,-9.77560616,-3.66231537
6.032,-6.11212158,-9.77700996,-3.66488838
6.036,-6.11200476,-9.76695538,-3.65495062
6.040,-6.11270618,-9.75654984,-3.64384365
6.044,-6.09727335,-9.74029827,-3.64302492
6.048,-6.07026672,-9.70522499,-3.63495827
6.052,-6.09563684,-9.71142101,-3.61578417
6.056,-6.10358667,-9.70545864,-3.60187197
6.060,-6.10674334,-9.72241116,-3.61566782
6.064,-6.10475588,-9.71200562,-3.60724974
6.068,-6.11445999,-9.73351765,-3.61905766
6.072,-6.1111865,-9.74228573,-3.63109922
6.076,-6.12813854,-9.77221584,-3.6440773
6.080,-6.13667345,-9.79244232,-3.65576887
6.084,-6.14333773,-9.80729008,-3.66395235
6.088,-6.16192675,-9.8383894,-3.67646265
6.092,-6.16192675,-9.8540554,-3.69212866
6.096,-6.18332195,-9.87182617,-3.68850422
6.100,-6.2027297,-9.90117168,-3.69844198
6.104,-6.22505999,-9.93180275,-3.70674276
6.108,-6.23265934,-9.94068813,-3.70802879
6.112,-6.2408433,-9.95121098,-3.71036768
6.116,-6.2548728,-9.96699429,-3.71212149
6.120,-6.26013422,-9.98827267,-3.72813845
6.124,-6.25650978,-9.97283936,-3.71632957
6.128,-6.2616539,-9.96711063,-3.70545673
6.132,-6.26352453,-9.97950363,-3.7159791
6.136,-6.26095247,-10.0041723,-3.74321985
6.140,-6.26995468,-10.0068617,-3.73690701
6.144,-6.25791264,-9.99201393,-3.7341013
6.148,-6.2622385,-9.99283218,-3.73059368
6.152,-6.26200485,-9.98838902,-3.72638416
6.156,-6.26446009,-9.98079014,-3.71633005
6.160,-6.26691532,-9.98967552,-3.7227602
6.164,-6.27907419,-10.0018339,-3.72275972
6.168,-6.25405455,-9.97377491,-3.71972036
6.172,-6.27299452,-9.98955822,-3.7165637
6.176,-6.27720356,-9.99598885,-3.71878529
6.180,-6.26586294,-9.97763348,-3.71177053
6.184,-6.25861406,-9.97272301,-3.71410894
6.188,-6.25650978,-9.9579916,-3.70148182
6.192,-6.26060152,-9.96068096,-3.70007944
6.196,-6.26983786,-9.98125744,-3.71141958
6.200,-6.27486515,-9.98137474,-3.70650959
6.204,-6.26679802,-9.9721384,-3.70534039
6.208,-6.26375866,-9.95378304,-3.69002438
6.212,-6.25417137,-9.94735241,-3.69318104
6.216,-6.25288534,-9.93589497,-3.68300962
6.220,-6.25674343,-9.94232559,-3.68558216
6.224,-6.25744486,-9.94022083,-3.68277597
6.228,-6.25195026,-9.9327383,-3.68078804
6.232,-6.26293993,-9.93998718,-3.67704725
6.236,-6.26352453,-9.94068813,-3.6771636
6.240,-6.24692297,-9.93858433,-3.69166136
6.244,-6.23558235,-9.92303467,-3.68745232
6.248,-6.24528599,-9.93753147,-3.69224548
6.252,-6.23488092,-9.92373562,-3.68885469
6.256,-6.24423409,-9.91987801,-3.67564392
6.260,-6.2290349,-9.9063158,-3.6772809
6.264,-6.21746063,-9.90339279,-3.68593216
6.268,-6.2099781,-9.89380646,-3.68382835
6.272,-6.22365713,-9.90561485,-3.68195772
6.276,-6.19524717,-9.8911171,-3.69586992
6.280,-6.20705557,-9.90140533,-3.69434977
6.284,-6.20343113,-9.90117168,-3.69774055
6.288,-6.19466257,-9.88807774,-3.69341516
6.292,-6.2083416,-9.90245819,-3.69411659
6.296,-6.21535635,-9.90736771,-3.69201136
6.300,-6.20915985,-9.88831139,-3.67915154
6.304,-6.21009493,-9.89029884,-3.68020391
6.308,-6.19255829,-9.88281631,-3.69025803
6.312,-6.19173956,-9.88679123,-3.69505167
6.316,-6.21091366,-9.90444565,-3.69353199
6.320,-6.21535635,-9.91648769,-3.70113134
6.324,-6.20050812,-9.88936329,-3.68885517
6.328,-6.20857525,-9.88644028,-3.67786503
6.332,-6.19980669,-9.8927536,-3.69294691
6.336,-6.21371937,-9.91181087,-3.69809151
6.340,-6.19688368,-9.89345551,-3.69657183
6.344,-6.1830883,-9.87065697,-3.68756866
6.348,-6.18273735,-9.85943317,-3.67669582
6.352,-6.15631485,-9.82155323,-3.66523838
6.356,-6.15432739,-9.8131361,-3.65880871
6.360,-6.17081213,-9.79220867,-3.62139654
6.364,-6.1706953,-9.78273869,-3.61204338
6.368,-6.15362597,-9.74883366,-3.59520769
6.372,-6.16180992,-9.74485874,-3.58304882
6.376,-6.14509106,-9.75806999,-3.61297894
6.380,-6.11831808,-9.69411755,-3.57579947
6.384,-6.09072638,-9.6820755,-3.59134912
6.388,-6.10370398,-9.7220602,-3.61835623
6.392,-6.10908175,-9.72474957,-3.61566782
6.396,-6.12170839,-9.73188114,-3.61017275
6.400,-6.11223841,-9.73281574,-3.62057734
6.404,-6.10931587,-9.74439049,-3.63507462
6.408,-6.09750748,-9.73796082,-3.64045334
6.412,-6.10545731,-9.76765633,-3.66219902
6.416,-6.12276077,-9.77782822,-3.65506744
6.420,-6.1290741,-9.78975296,-3.66067886
6.424,-6.13351679,-9.78133488,-3.64781809
6.428,-6.15117073,-9.79209137,-3.64092064
6.432,-6.16683722,-9.82178783,-3.65495062
6.436,-6.18881702,-9.8528862,-3.66406918
6.440,-6.19746828,-9.85124969,-3.65378141
6.444,-6.18986893,-9.8528862,-3.66301727
6.448,-6.19489622,-9.84669018,-3.65179396
6.452,-6.20576954,-9.8658638,-3.66009426
6.456,-6.18519258,-9.84236431,-3.65717173
6.460,-6.20015764,-9.84552097,-3.64536333
6.464,-6.20366478,-9.85580921,-3.65214443
6.468,-6.20132637,-9.85253525,-3.65120888
6.472,-6.20226192,-9.84633923,-3.6440773
6.476,-6.20495081,-9.84552097,-3.64057016
6.480,-6.1891675,-9.82085228,-3.63168478
6.484,-6.20343113,-9.84213066,-3.63869953
6.488,-6.19454575,-9.83441448,-3.63986874
6.492,-6.1891675,-9.82470989,-3.63554239
6.496,-6.17958069,-9.85078239,-3.67120171
6.500,-6.17654085,-9.87919235,-3.7026515
6.504,-6.16601849,-9.88655758,-3.72053909
6.508,-6.16414833,-9.91368103,-3.7495327
6.512,-6.12743711,-9.83651829,-3.70908117
6.516,-6.04162264,-9.62490463,-3.58328199
6.520,-5.92529392,-9.50436687,-3.57907295
6.524,-5.65358686,-9.30409431,-3.65050745
6.528,-5.45717192,-9.01777363,-3.56060171
6.532,-5.32482576,-8.510602,-3.18577623
6.536,-5.3155899,-8.09064865,-2.77505875
6.540,-5.42396879,-7.56009531,-2.13612652
6.544,-5.55923748,-7.89809227,-2.33885479
6.548,-5.8863616,-8.68760967,-2.80124807
6.552,-6.17537165,-9.15175629,-2.97638464
6.556,-6.30806875,-9.38125706,-3.0731883
6.560,-6.40615892,-9.60152245,-3.19536352
6.564,-6.43491983,-9.74637794,-3.31145811
6.568,-6.44859886,-9.85791397,-3.40931511
6.572,-6.40697765,-9.9067831,-3.49980545
6.576,-6.33191919,-9.89450741,-3.56258821
6.580,-6.2548728,-9.84680653,-3.59193373
6.584,-6.21453762,-9.78963661,-3.57509899
6.588,-6.17946386,-9.73176384,-3.55229998
6.592,-6.16321278,-9.72381401,-3.56060123
6.596,-6.15678263,-9.72767162,-3.570889
6.600,-6.15000153,-9.72533417,-3.57533264
6.604,-6.14637709,-9.72743797,-3.58106089
6.608,-6.14941692,-9.73398495,-3.58456802
6.612,-6.13258123,-9.71785164,-3.5852704
6.616,-6.13456917,-9.72229385,-3.58772469
6.620,-6.13351679,-9.71399307,-3.58047628
6.624,-6.11925316,-9.69727421,-3.57802105
6.628,-6.10838032,-9.68616772,-3.5777874
6.632,-6.11329079,-9.69856071,-3.58526993
6.636,-6.11948729,-9.69645596,-3.57696867
6.640,-6.10802984,-9.68920708,-3.58117723
6.644,-6.11352444,-9.68078995,-3.56726551
6.648,-6.11282301,-9.67915249,-3.56632948
6.652,-6.1032362,-9.65845966,-3.55522346
6.656,-6.09902716,-9.66407108,-3.56504393
6.660,-6.08616686,-9.65132713,-3.56516027
6.664,-6.10627604,-9.63823318,-3.53195715
6.668,-6.09540319,-9.63180256,-3.53639936
6.672,-6.08336067,-9.62081337,-3.5374527
6.676,-6.07868433,-9.61847496,-3.53979063
6.680,-6.07354021,-9.61064148,-3.53710127
6.684,-6.06184864,-9.59731388,-3.53546524
6.688,-6.06056261,-9.57206059,-3.51149797
6.692,-6.06640863,-9.56855297,-3.50214434
6.696,-6.05915976,-9.56270695,-3.50354719
6.700,-6.04723454,-9.54318237,-3.49594784
6.704,-6.03285408,-9.51348686,-3.48063278
6.708,-6.02244902,-9.50004101,-3.47759199
