time,lead_i_mV,lead_ii_mV,lead_iii_mV
1.116,-6.62981462,-10.8215151,-4.19170046
1.120,-6.65378189,-10.8686314,-4.21484947
1.124,-6.63378954,-10.8708525,-4.23706293
1.128,-6.61753893,-10.8259573,-4.20841837
1.132,-6.58550453,-10.7989502,-4.21344566
1.136,-6.59357166,-10.7479763,-4.15440464
1.140,-6.5902977,-10.772645,-4.1823473
1.144,-6.62607336,-10.8347263,-4.20865297
1.148,-6.5892458,-10.7397919,-4.15054607
1.152,-6.58854437,-10.7334785,-4.14493418
1.156,-6.56153727,-10.6412344,-4.07969713
1.160,-6.5442338,-10.6074467,-4.06321287
1.164,-6.5172267,-10.6025362,-4.08530951
1.168,-6.51944828,-10.5923643,-4.07291603
1.172,-6.50717258,-10.5854664,-4.0782938
1.176,-6.49501324,-10.5661755,-4.07116222
1.180,-6.50085926,-10.5742426,-4.07338333
1.184,-6.47478724,-10.52701,-4.05222273
1.188,-6.46940947,-10.5340242,-4.06461477
1.192,-6.47151375,-10.5189428,-4.04742908
1.196,-6.4667201,-10.5148506,-4.04813051
1.200,-6.44836473,-10.5169554,-4.06859064
1.204,-6.43340015,-10.4901819,-4.05678177
1.208,-6.4600563,-10.5102911,-4.05023479
1.212,-6.45409346,-10.5224504,-4.06835699
1.216,-6.44976759,-10.5105247,-4.06075716
1.220,-6.42825556,-10.4974308,-4.06917524
1.224,-6.43877792,-10.5236197,-4.08484173
1.228,-6.44637728,-10.5438452,-4.0974679
1.232,-6.45573044,-10.570034,-4.11430359
1.236,-6.48624468,-10.6272049,-4.14096022
1.240,-6.50752306,-10.6695271,-4.16200399
1.244,-6.52482653,-10.6782961,-4.15346956
1.248,-6.55943251,-10.7113819,-4.15194941
1.252,-6.53441334,-10.7010937,-4.16668034
1.256,-6.58316612,-10.7484436,-4.16527748
1.260,-6.60912085,-10.8023415,-4.19322062
1.264,-6.60058641,-10.7963781,-4.19579172
1.268,-6.60292435,-10.8014059,-4.19848156
1.272,-6.62502098,-10.8335571,-4.20853615
1.276,-6.62981462,-10.8501587,-4.22034407
1.280,-6.6363616,-10.8495741,-4.21321249
1.284,-6.60526276,-10.8455992,-4.24033642
1.288,-6.63951826,-10.8963394,-4.25682116
1.292,-6.63729715,-10.9101353,-4.27283812
1.296,-6.64770222,-10.9006653,-4.25296307
1.300,-6.6689806,-10.9267368,-4.25775623
1.304,-6.63507557,-10.8885059,-4.25343037
1.308,-6.64559793,-10.8782177,-4.23261976
1.312,-6.64279222,-10.8952875,-4.25249529
1.316,-6.6695652,-10.930829,-4.26126385
1.320,-6.65787411,-10.9312963,-4.27342224
1.324,-6.64267492,-10.9252167,-4.28254175
1.328,-6.67377424,-10.9426374,-4.2688632
1.332,-6.63823223,-10.896924,-4.25869179
1.336,-6.67283869,-10.9247494,-4.25191069
1.340,-6.68675137,-10.9171505,-4.23039913
1.344,-6.64279222,-10.8740091,-4.23121691
1.348,-6.64337683,-10.8814917,-4.23811483
1.352,-6.65296364,-10.8925982,-4.23963451
1.356,-6.65424967,-10.9131746,-4.25892496
1.360,-6.66255045,-10.8920135,-4.2294631
1.364,-6.66079664,-10.9004316,-4.23963499
1.368,-6.65787411,-10.9099016,-4.25202751
1.372,-6.64302588,-10.8846483,-4.24162245
1.376,-6.65109301,-10.8944693,-4.24337626
1.380,-6.64501333,-10.878335,-4.23332167
1.384,-6.62607336,-10.8676958,-4.24162245
1.388,-6.65916014,-10.8949366,-4.23577642
1.392,-6.64711761,-10.8890905,-4.24197292
1.396,-6.63343906,-10.9039392,-4.27050018
1.400,-6.63004827,-10.8844147,-4.2543664
1.404,-6.63928461,-10.8925982,-4.25331354
1.408,-6.61905861,-10.8738918,-4.25483322
1.412,-6.62771034,-10.8871031,-4.25939274
1.416,-6.61800623,-10.8888569,-4.27085066
1.420,-6.62864542,-10.9144611,-4.28581572
1.424,-6.62817764,-10.912941,-4.28476334
1.428,-6.61976004,-10.9004316,-4.2806716
1.432,-6.6162529,-10.9075632,-4.29131031
1.436,-6.61145926,-10.9099016,-4.29844236
1.440,-6.63226986,-10.9061604,-4.2738905
